States ,President1,Perecent1,Votes1,President2,Perecnt2,Votes2
Alabama,Joe Biden,36.60%,"848,648",Donald Trump,62%,"1,441,168"
Alaska,Joe Biden,42.80%,"153,778",Donald Trump,52.80%,"189,951"
Arizona ,Joe Biden,49.80%,"1,672,143",Donald Trump,49.10%,"1,661,686"
Arkansas,Joe Biden,34.80%,"423,932",Donald Trump,62.40%,"760,647"
California ,Joe Biden,63.50%,"11,209,764",Donald Trump,34.30%,"6,005,961"
Colorado,Joe Biden,55.40%,"1,804,352",Donald Trump,41.90%,"1,364,607"
Connecticut,Joe Biden,59.20%,"1,080,680",Donald Trump,39.20%,"715,291"
Delaware,Joe Biden,58.80%,"296,268",Donald Trump,39.80%,"200,603"
District of Columbia,Joe Biden,92.10%,"317,323",Donald Trump,5.40%,"18,586"
Florida,Joe Biden,47.90%,"5,297,045",Donald Trump,51.20%,"5,668,731"
Georgia,Joe Biden,49.50%,"2,473,633",Donald Trump,49.30%,"2,461,854"
Hawaii,Joe Biden,63.70%,"366,130",Donald Trump,34.30%,"196,864"
Idaho,Joe Biden,33.10%,"287,021",Donald Trump,63.80%,"554,119"
Illinois,Joe Biden,57.50%,"3,471,915",Donald Trump,40.50%,"2,446,891"
Indiana,Joe Biden,41%,"1,242,495",Donald Trump,57%,"1,729,852"
Lowa,Joe Biden,44.90%,"759,061",Donald Trump,53.10%,"897,672"
Knasas,Joe Biden,41.50%,"570,323",Donald Trump,56.10%,"771,406"
Kentucky ,Joe Biden,36.20%,"772,474",Donald Trump,62.10%,"1,326,646"
Louisiana,Joe Biden,39.90%,"856,034",Donald Trump,58.50%,"1,255,776"
Maine,Joe Biden,53.10%,"435,072",Donald Trump,44%,"360,737"
Maryland,Joe Biden,65.40%,"1,985,023",Donald Trump,32.20%,"976,414"
Massachusetts,Joe Biden,65.60%,"2,382,202",Donald Trump,32.10%,"1,167,202"
Michigan,Joe Biden,50.60%,"2,804,040",Donald Trump,47.80%,"2,649,852"
Minnesota,Joe Biden,52.40%,"1,717,077",Donald Trump,45.30%,"1,484,065"
Mississippi,Joe Biden,41%,"539,398",Donald Trump,57.50%,"756,764"
Missouri,Joe Biden,41.40%,"1,253,014",Donald Trump,56.80%,"1,718,736"
Montana,Joe Biden,40.40%,"244,786",Donald Trump,56.70%,"343,602"
Nebraska,Joe Biden,39.20%,"374,583",Donald Trump,58.20%,"556,846"
Nevada,Joe Biden,50.10%,"703,486",Donald Trump,47.70%,"669,890"
New Hampshire,Joe Biden,52.80%,"423,921",Donald Trump,45.50%,"365,654"
New Jersey,Joe Biden,57.10%,"2,608,335",Donald Trump,41.30%,"1,883,274"
New Mexico,Joe Biden,54.30%,"501,614",Donald Trump,43.50%,"401,894"
New York,Joe Biden,60.90%,"5,244,006",Donald Trump,37.70%,"3,250,230"
North Carolina ,Joe Biden,48.60%,"2,684,292",Donald Trump,49.90%,"2,758,773"
North Dakota,Joe Biden,31.80%,"114,902",Donald Trump,65.10%,"235,595"
Ohio,Joe Biden,45.20%,"2,679,165",Donald Trump,53.30%,"3,154,834"
Oklahoma,Joe Biden,32.30%,"503,890",Donald Trump,65.40%,"1,020,280"
Oregon,Joe Biden,56.50%,"1,340,383",Donald Trump,40.40%,"958,448"
Pennsylvania,Joe Biden,50%,"3,459,923",Donald Trump,48.80%,"3,378,263"
Rhode Island ,Joe Biden,59.40%,"307,486",Donald Trump,38.60%,"199,922"
South Carolina,Joe Biden,43.40%,"1,091,541",Donald Trump,55.10%,"1,385,103"
South Dakota,Joe Biden,35.60%,"150,471",Donald Trump,61.80%,"261,043"
Tennessee,Joe Biden,37.40%,"1,143,913",Donald Trump,60.70%,"1,852,948"
Texas,Joe Biden,46.50%,"5,259,126",Donald Trump,52.00%,"5,890,347"
Utah,Joe Biden,37.60%,"560,282",Donald Trump,58%,"865,140"
Vermont,Joe Biden,66.10%,"242,820",Donald Trump,30.70%,"112,704"
Virginia,Joe Biden,54%,"2,413,568",Donald Trump,44.00%,"1,962,430"
Washington,Joe Biden,58.00%,"2,369,612",Donald Trump,39%,"1,584,651"
West Virginia,Joe Biden,27.70%,"235,984",Donald Trump,68.60%,"545,382"
Wisconsin,Joe Biden,49.50%,"1,630,673",Donald Trump,48.80%,"1,610,065"
Wyoming ,Joe Biden,26.60%,"73,491",Donald Trump,69.90%,"193,559"